question,answer,topic,difficulty
1. 1.Can you explain the linux file system architecture?,"The linux file system is hierarchical, starting from the root /. Key directories include like /bin (essential binaries), /etc (config files), /home (user directories), /var (logs), /tmp (temporary files), /usr (user apps), /opt (optional software).",general,medium
2. 2.How do you execute a command with superuser privilages?,Use sudo command_name or use su to switch to root shell.,general,medium
3. 3.What's the difference between sudo and su?,sudo runs a command as another user (usually root); su switches the shell to another user (often root).,general,medium
4. 4.How do you change the current directory?,by using cd command : cd /path/to/directory.,general,medium
5. 5.How do you check the current directory?,pwd (print working directory),general,medium
6. 6.How do you list all running processes?,ps -ef or top or htop.,general,medium
7. 7.What is a zombie process?,a Process that has completed but still has an entry in the process table because the parent hasn't read its exit status.,general,medium
8. 8.What is the use of kill command?,"To terminate a process uising its PID ""kill 8972"".",general,medium
9. 9.How do you view the contents of a file?,"use car filename, less filename or more filename",general,medium
10. 10.How do you edit a file?,use vi filename or nano filename.,general,medium
11. 11.What are the modes in vi editor?,"there are insert mode command mode last line mode save with :wq, quit with :q! and delete with dd",general,medium
12. 12.how to you create a directory inside another in a single command?,mkdir -p parent/child/grandchild,general,medium
13. 13.How do you delete a directory?,rm -r dirctory_name,general,medium
14. 14.How do you copy a file?,cp source destination,general,medium
15. 15.How do you delete a line inside a file?,"open in vi, and use dd to delete",general,medium
16. 16.How do you remove an empty file?,rm filename,general,medium
17. 17.How do you extract a .tar.gz file?,tar -xvzf filename.tar.qz,general,medium
18. 18.How do you check disk space usage?,df -h,general,medium
19. 19.What is the use of df -i?,show the inode usage for rach mounted file system.,general,medium
20. 20.How do you check memory usage?,free -h,general,medium
21. 21.What is the use of free command?,Displays system memory usage (RAM and swap),general,medium
22. 22.How do you change file permissions?,chmod 755 filename (or use symbolic mode: chmod u+x filename).,general,medium
23. 23.How do you change ownership of a file?,chown newuser:newgroup filename,general,medium
24. 24.How do you set only execute permissions for a file?,chmod +x filename,general,medium
25. 25.How do you give all permissions to the user?,chmod 700 filename,general,medium
26. 26.How do you create a new user?,sudo useradd username,general,medium
27. 27.How do you change a user's password?,sudo passwd username,general,medium
28. 28.How do you count characters in a file?,wc -c filename,general,medium
29. 29.How do you count characters in the 10th line of a file?,head -n 10 filename | tail -n 1 | wc -c,general,medium
30. 30.How do you see the last few lines of a file?,tail -n 5 filename,general,medium
31. 31.How do you search for a pattern in a file?,grep 'pattern' filename,general,medium
